chain,platform,operation,execution_effect,decode_status,minute_index,minute_utc,record_count,distinct_transactions,coverage
solana,pump.fun.pumpswap,trade,committed,decoded,1,2026-09-14T12:01:00+00:00,13358,11853,complete
solana,pump.fun.pumpswap,trade,committed,decoded,2,2026-09-14T12:02:00+00:00,14199,12532,complete
solana,pump.fun.pumpswap,trade,committed,decoded,3,2026-09-14T12:03:00+00:00,16562,15021,complete
solana,pump.fun.pumpswap,trade,committed,decoded,4,2026-09-14T12:04:00+00:00,15511,13879,complete
solana,pump.fun.pumpswap,trade,not_committed,decoded,0,2026-09-14T12:00:00+00:00,1557,1551,complete
solana,pump.fun.pumpswap,trade,not_committed,decoded,1,2026-09-14T12:01:00+00:00,1214,1204,complete
solana,pump.fun.pumpswap,trade,not_committed,decoded,2,2026-09-14T12:02:00+00:00,1287,1279,complete
solana,pump.fun.pumpswap,trade,not_committed,decoded,3,2026-09-14T12:03:00+00:00,2082,2038,complete
solana,pump.fun.pumpswap,trade,not_committed,decoded,4,2026-09-14T12:04:00+00:00,1318,1306,complete
solana,pump.fun.pumpswap,trade,unknown,decoded,0,2026-09-14T12:00:00+00:00,39,34,complete
solana,pump.fun.pumpswap,trade,unknown,decoded,1,2026-09-14T12:01:00+00:00,40,39,complete
solana,pump.fun.pumpswap,trade,unknown,decoded,2,2026-09-14T12:02:00+00:00,46,40,complete
solana,pump.fun.pumpswap,trade,unknown,decoded,3,2026-09-14T12:03:00+00:00,40,38,complete
solana,pump.fun.pumpswap,trade,unknown,decoded,4,2026-09-14T12:04:00+00:00,56,47,complete
solana,Pump.fun,liquidity_add,no_observed_record,no_decoded_records,0,2026-09-14T12:00:00+00:00,0,0,observed_decoder_subset
solana,Pump.fun,curve_complete,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
solana,Pump.fun,migration,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
solana,Pump.fun,pool_initialization,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
solana,Pump.fun,liquidity_add,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
solana,Pump.fun,curve_complete,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
solana,Pump.fun,migration,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
solana,Pump.fun,liquidity_add,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,curve_complete,no_observed_record,no_decoded_records,0,2026-09-14T12:00:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,migration,no_observed_record,no_decoded_records,0,2026-09-14T12:00:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,pool_initialization,no_observed_record,no_decoded_records,0,2026-09-14T12:00:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,liquidity_add,no_observed_record,no_decoded_records,0,2026-09-14T12:00:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,liquidity_remove,no_observed_record,no_decoded_records,0,2026-09-14T12:00:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,curve_complete,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,migration,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,pool_initialization,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,liquidity_add,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,liquidity_remove,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,curve_complete,no_observed_record,no_decoded_records,2,2026-09-14T12:02:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,migration,no_observed_record,no_decoded_records,2,2026-09-14T12:02:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,pool_initialization,no_observed_record,no_decoded_records,2,2026-09-14T12:02:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,liquidity_add,no_observed_record,no_decoded_records,2,2026-09-14T12:02:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,liquidity_remove,no_observed_record,no_decoded_records,2,2026-09-14T12:02:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,curve_complete,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,migration,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,pool_initialization,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,liquidity_add,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,liquidity_remove,no_observed_record,no_decoded_records,3,2026-09-14T12:03:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,curve_complete,no_observed_record,no_decoded_records,4,2026-09-14T12:04:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,migration,no_observed_record,no_decoded_records,4,2026-09-14T12:04:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,pool_initialization,no_observed_record,no_decoded_records,4,2026-09-14T12:04:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,liquidity_add,no_observed_record,no_decoded_records,4,2026-09-14T12:04:00+00:00,0,0,observed_decoder_subset
bsc,Four.meme,liquidity_remove,no_observed_record,no_decoded_records,4,2026-09-14T12:04:00+00:00,0,0,observed_decoder_subset
base,Clanker,creation,no_observed_record,no_decoded_records,0,2026-09-14T12:00:00+00:00,0,0,observed_decoder_subset
base,Clanker,trade,no_observed_record,no_decoded_records,0,2026-09-14T12:00:00+00:00,0,0,observed_decoder_subset
base,Clanker,curve_complete,not_applicable,mechanism_not_applicable,0,2026-09-14T12:00:00+00:00,,,mechanism_not_applicable
base,Clanker,migration,not_applicable,mechanism_not_applicable,0,2026-09-14T12:00:00+00:00,,,mechanism_not_applicable
base,Clanker,pool_initialization,no_observed_record,no_decoded_records,0,2026-09-14T12:00:00+00:00,0,0,observed_decoder_subset
base,Clanker,liquidity_add,no_observed_record,no_decoded_records,0,2026-09-14T12:00:00+00:00,0,0,observed_decoder_subset
base,Clanker,liquidity_remove,no_observed_record,no_decoded_records,0,2026-09-14T12:00:00+00:00,0,0,observed_decoder_subset
base,Clanker,creation,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
base,Clanker,trade,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
base,Clanker,curve_complete,not_applicable,mechanism_not_applicable,1,2026-09-14T12:01:00+00:00,,,mechanism_not_applicable
base,Clanker,migration,not_applicable,mechanism_not_applicable,1,2026-09-14T12:01:00+00:00,,,mechanism_not_applicable
base,Clanker,pool_initialization,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
base,Clanker,liquidity_add,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
base,Clanker,liquidity_remove,no_observed_record,no_decoded_records,1,2026-09-14T12:01:00+00:00,0,0,observed_decoder_subset
